,year_month,volume,product,uf,unit,create_at
61,2018-08,3086807.023,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
62,2019-08,2697685.08,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
63,2020-08,2357212.128,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
64,2013-09,2147259.738,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
65,2014-09,3801000.711,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
66,2015-09,3329939.343,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
67,2016-09,3074929.77,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
68,2017-09,2999961.618,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
69,2018-09,2833173.833,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
70,2019-09,2455470.06,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
71,2020-09,2366150.662,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
72,2013-10,2317947.483,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
73,2014-10,4068957.342,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
74,2015-10,3500701.149,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
75,2016-10,2956242.033,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
76,2017-10,3041324.557,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
77,2018-10,2960027.017,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
78,2019-10,2697564.232,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
79,2013-11,2140839.687,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
80,2014-11,3439879.126,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
81,2015-11,3029832.264,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
82,2016-11,2772079.529,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
83,2017-11,2840438.131,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
84,2018-11,2698762.839,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
85,2019-11,2325085.774,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
86,2013-12,1884380.803,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
87,2014-12,3213581.684,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
88,2015-12,2933202.833,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
89,2016-12,2554350.043,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
90,2017-12,2488981.448,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
91,2018-12,2388265.108,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
92,2019-12,1963016.671,ÓLEO DIESEL (OUTROS ),AC,m3,2022-05-17
0,2013-01,1924216.093,ÓLEO DIESEL MARÍTIMO,AC,m3,2022-05-17
